device_use,devicetype,latitude,longitude,location_parameters,device_status,network,Cost
Wifi Device Counter,nCounter,-38.1446587,144.3592925,unknown,Assigned,LoraWAN (TTN),61728
Indoor Temp Sensor,Elsys.SE ESM5K,-38.144711,144.360452,unknown,unknown,LoraWAN (TTN),50129
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),96196
Wifi Device Counter,nCounter,-38.1493122,144.3770579,unknown,Active,LoraWAN (TTN),30564
Wifi Device Counter,nCounter,-38.1447631,144.3595969,unknown,Active,LoraWAN (TTN),14099
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,LoraWAN (TTN),91150
Wifi Device Counter,nCounter,-38.1489155,144.3584489,unknown,Active,LoraWAN (TTN),78859
Wifi Device Counter,nCounter,-38.1474393,144.3576924,unknown,Active,LoraWAN (TTN),95335
Wifi Device Counter,Cisco Meraki,-38.148573,144.361279,unknown,unknown,Not LoraWAN,3496
Parking,Turbo,-38.1521818,144.3642471,2P Diagonal,Active,LoraWAN (TTN),32465
Parking,Turbo,-38.1525202,144.3632244,2P Parrallel,Active,LoraWAN (TTN),17871
Parking,Turbo,-38.1485123,144.3611459,2P Parrallel,Active,LoraWAN (TTN),25447
Parking,Turbo,-38.1495716,144.3610219,2P Parrallel,Active,LoraWAN (TTN),85882
Parking,Turbo,-38.1498852,144.3614617,2P Parrallel,Active,LoraWAN (TTN),88173
Parking,Turbo,-38.1510205,144.3573064,2P Parrallel,Active,LoraWAN (TTN),46555
Parking,Turbo,-38.1483584,144.3646351,2P Median,Active,LoraWAN (TTN),86810
Parking,Turbo,-38.1432402,144.3611037,3P Diagonal,Active,LoraWAN (TTN),82304
Parking,Turbo,-38.1514218,144.364608,2P Diagonal,To be installed,LoraWAN (TTN),90357
Wifi Device Counter,nCounter,-38.1467049,144.3683997,unknown,Active,LoraWAN (TTN),27377
Wifi Device Counter,nCounter,-38.1475187,144.3737408,unknown,Inactive,LoraWAN (TTN),20359
Wifi Device Counter,nCounter,-38.1861465,144.3938752,unknown,Active,LoraWAN (TTN),36223
Wifi Device Counter,nCounter,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),23993
Wifi Device Counter,nCounter,-38.1456638,144.3587789,unknown,Assigned,LoraWAN (TTN),29724
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,31527
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,79079
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,60972
Wifi Device Counter,nCounter,-38.1424258,144.360149,unknown,Inactive,LoraWAN (TTN),22542
Wifi Device Counter,nCounter,-38.1439919,144.3637687,unknown,Inactive,LoraWAN (TTN),34177
